127.0.0.1 - - [11/Apr/2024:18:56:24 -0300] "GET / HTTP/1.1" 404 695
127.0.0.1 - - [11/Apr/2024:19:25:30 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:25:31 -0300] "POST /tasks-backend/todo HTTP/1.1" 201 72
127.0.0.1 - - [11/Apr/2024:19:25:31 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1206
127.0.0.1 - - [11/Apr/2024:19:25:31 -0300] "POST /tasks/save HTTP/1.1" 200 4888
127.0.0.1 - - [11/Apr/2024:19:25:31 -0300] "DELETE /tasks-backend/todo/1 HTTP/1.1" 404 120
127.0.0.1 - - [11/Apr/2024:19:25:31 -0300] "GET /tasks/delete/1 HTTP/1.1" 500 287
127.0.0.1 - - [11/Apr/2024:19:25:44 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:25:44 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1206
127.0.0.1 - - [11/Apr/2024:19:25:44 -0300] "GET /tasks/ HTTP/1.1" 200 4818
127.0.0.1 - - [11/Apr/2024:19:25:44 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
127.0.0.1 - - [11/Apr/2024:19:25:44 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
127.0.0.1 - - [11/Apr/2024:19:25:44 -0300] "GET /favicon.ico HTTP/1.1" 404 683
127.0.0.1 - - [11/Apr/2024:19:25:44 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:25:45 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:19:25:45 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1206
127.0.0.1 - - [11/Apr/2024:19:25:45 -0300] "POST /tasks/save HTTP/1.1" 500 287
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1206
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "GET /tasks/ HTTP/1.1" 200 4818
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "GET /favicon.ico HTTP/1.1" 404 683
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "POST /tasks-backend/todo HTTP/1.1" 201 72
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1268
127.0.0.1 - - [11/Apr/2024:19:25:58 -0300] "POST /tasks/save HTTP/1.1" 200 5074
127.0.0.1 - - [11/Apr/2024:19:26:02 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:26:02 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1268
127.0.0.1 - - [11/Apr/2024:19:26:02 -0300] "GET /tasks/ HTTP/1.1" 200 5004
127.0.0.1 - - [11/Apr/2024:19:26:02 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
127.0.0.1 - - [11/Apr/2024:19:26:02 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
127.0.0.1 - - [11/Apr/2024:19:26:02 -0300] "GET /favicon.ico HTTP/1.1" 404 683
127.0.0.1 - - [11/Apr/2024:19:26:03 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:26:03 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:19:26:03 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1268
127.0.0.1 - - [11/Apr/2024:19:26:03 -0300] "POST /tasks/save HTTP/1.1" 500 287
127.0.0.1 - - [11/Apr/2024:19:26:30 -0300] "GET /task/ HTTP/1.1" 404 695
127.0.0.1 - - [11/Apr/2024:19:26:36 -0300] "GET /manager/html HTTP/1.1" 401 2499
127.0.0.1 - admin [11/Apr/2024:19:26:39 -0300] "GET /manager/html HTTP/1.1" 200 18293
127.0.0.1 - - [11/Apr/2024:19:26:39 -0300] "GET /manager/css/manager.css HTTP/1.1" 200 2806
127.0.0.1 - - [11/Apr/2024:19:26:39 -0300] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20486
127.0.0.1 - - [11/Apr/2024:19:26:39 -0300] "GET /manager/images/tomcat.svg HTTP/1.1" 200 67795
127.0.0.1 - - [11/Apr/2024:19:26:43 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1268
127.0.0.1 - - [11/Apr/2024:19:26:43 -0300] "GET /tasks/ HTTP/1.1" 200 5004
127.0.0.1 - - [11/Apr/2024:19:26:43 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
127.0.0.1 - - [11/Apr/2024:19:26:43 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
127.0.0.1 - - [11/Apr/2024:19:26:59 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:27:01 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:19:27:01 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1268
127.0.0.1 - - [11/Apr/2024:19:27:01 -0300] "POST /tasks/save HTTP/1.1" 500 287
127.0.0.1 - - [11/Apr/2024:19:27:23 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:19:27:23 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1268
127.0.0.1 - - [11/Apr/2024:19:27:23 -0300] "POST /tasks/save HTTP/1.1" 500 287
127.0.0.1 - - [11/Apr/2024:19:51:45 -0300] "GET /manage/ HTTP/1.1" 404 695
127.0.0.1 - admin [11/Apr/2024:19:51:51 -0300] "GET /manager/html HTTP/1.1" 200 18293
127.0.0.1 - - [11/Apr/2024:19:51:55 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1268
127.0.0.1 - - [11/Apr/2024:19:51:55 -0300] "GET /tasks/ HTTP/1.1" 200 5004
127.0.0.1 - - [11/Apr/2024:19:51:58 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:52:10 -0300] "POST /tasks-backend/todo HTTP/1.1" 201 60
127.0.0.1 - - [11/Apr/2024:19:52:10 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1318
127.0.0.1 - - [11/Apr/2024:19:52:10 -0300] "POST /tasks/save HTTP/1.1" 200 5248
172.23.0.4 - - [11/Apr/2024:19:55:46 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:55:46 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1318
172.23.0.4 - - [11/Apr/2024:19:55:46 -0300] "GET /tasks/ HTTP/1.1" 200 5178
172.23.0.4 - - [11/Apr/2024:19:55:46 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.4 - - [11/Apr/2024:19:55:46 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.4 - - [11/Apr/2024:19:55:46 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.4 - - [11/Apr/2024:19:55:46 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:55:47 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:19:55:47 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1318
172.23.0.4 - - [11/Apr/2024:19:55:47 -0300] "POST /tasks/save HTTP/1.1" 500 287
172.23.0.3 - - [11/Apr/2024:19:55:57 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:55:57 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1318
172.23.0.3 - - [11/Apr/2024:19:55:57 -0300] "GET /tasks/ HTTP/1.1" 200 5178
172.23.0.3 - - [11/Apr/2024:19:55:57 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.3 - - [11/Apr/2024:19:55:57 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.3 - - [11/Apr/2024:19:55:57 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.3 - - [11/Apr/2024:19:55:57 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:55:57 -0300] "POST /tasks-backend/todo HTTP/1.1" 201 72
127.0.0.1 - - [11/Apr/2024:19:55:57 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1380
172.23.0.3 - - [11/Apr/2024:19:55:57 -0300] "POST /tasks/save HTTP/1.1" 200 5434
127.0.0.1 - - [11/Apr/2024:19:55:58 -0300] "DELETE /tasks-backend/todo/1 HTTP/1.1" 404 120
172.23.0.3 - - [11/Apr/2024:19:55:58 -0300] "GET /tasks/delete/1 HTTP/1.1" 500 287
192.168.0.15 - - [11/Apr/2024:19:55:59 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:55:59 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1380
192.168.0.15 - - [11/Apr/2024:19:55:59 -0300] "GET /tasks/ HTTP/1.1" 200 5364
192.168.0.15 - - [11/Apr/2024:19:56:00 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
192.168.0.15 - - [11/Apr/2024:19:56:00 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
192.168.0.15 - - [11/Apr/2024:19:56:00 -0300] "GET /favicon.ico HTTP/1.1" 404 695
172.23.0.4 - - [11/Apr/2024:19:56:08 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:56:08 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1380
172.23.0.4 - - [11/Apr/2024:19:56:08 -0300] "GET /tasks/ HTTP/1.1" 200 5364
172.23.0.4 - - [11/Apr/2024:19:56:08 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.4 - - [11/Apr/2024:19:56:08 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.4 - - [11/Apr/2024:19:56:08 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.4 - - [11/Apr/2024:19:56:08 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:56:08 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:19:56:08 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1380
172.23.0.4 - - [11/Apr/2024:19:56:08 -0300] "POST /tasks/save HTTP/1.1" 500 287
172.23.0.3 - - [11/Apr/2024:19:56:19 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:56:19 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1380
172.23.0.3 - - [11/Apr/2024:19:56:19 -0300] "GET /tasks/ HTTP/1.1" 200 5364
172.23.0.3 - - [11/Apr/2024:19:56:19 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.3 - - [11/Apr/2024:19:56:19 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.3 - - [11/Apr/2024:19:56:19 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.3 - - [11/Apr/2024:19:56:19 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:56:19 -0300] "POST /tasks-backend/todo HTTP/1.1" 201 72
127.0.0.1 - - [11/Apr/2024:19:56:19 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1442
172.23.0.3 - - [11/Apr/2024:19:56:19 -0300] "POST /tasks/save HTTP/1.1" 200 5620
172.23.0.4 - - [11/Apr/2024:19:56:20 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:56:20 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1442
172.23.0.4 - - [11/Apr/2024:19:56:20 -0300] "GET /tasks/ HTTP/1.1" 200 5550
172.23.0.4 - - [11/Apr/2024:19:56:20 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.4 - - [11/Apr/2024:19:56:20 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.4 - - [11/Apr/2024:19:56:20 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.4 - - [11/Apr/2024:19:56:20 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:56:20 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:19:56:20 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1442
172.23.0.4 - - [11/Apr/2024:19:56:20 -0300] "POST /tasks/save HTTP/1.1" 500 287
127.0.0.1 - - [11/Apr/2024:19:57:00 -0300] "POST /tasks-backend/todo HTTP/1.1" 201 60
127.0.0.1 - - [11/Apr/2024:19:57:00 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1492
127.0.0.1 - - [11/Apr/2024:19:57:00 -0300] "POST /tasks/save HTTP/1.1" 200 5794
172.23.0.3 - - [11/Apr/2024:19:59:50 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:19:59:50 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1492
172.23.0.3 - - [11/Apr/2024:19:59:50 -0300] "GET /tasks/ HTTP/1.1" 200 5724
172.23.0.3 - - [11/Apr/2024:19:59:50 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.3 - - [11/Apr/2024:19:59:50 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.3 - - [11/Apr/2024:19:59:50 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.3 - - [11/Apr/2024:19:59:50 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:19:59:50 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:19:59:50 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1492
172.23.0.3 - - [11/Apr/2024:19:59:50 -0300] "POST /tasks/save HTTP/1.1" 500 287
172.23.0.4 - - [11/Apr/2024:20:00:01 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:20:00:01 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1492
172.23.0.4 - - [11/Apr/2024:20:00:01 -0300] "GET /tasks/ HTTP/1.1" 200 5724
172.23.0.4 - - [11/Apr/2024:20:00:01 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.4 - - [11/Apr/2024:20:00:01 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.4 - - [11/Apr/2024:20:00:01 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.4 - - [11/Apr/2024:20:00:01 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:20:00:01 -0300] "POST /tasks-backend/todo HTTP/1.1" 201 72
127.0.0.1 - - [11/Apr/2024:20:00:01 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1554
172.23.0.4 - - [11/Apr/2024:20:00:01 -0300] "POST /tasks/save HTTP/1.1" 200 5980
127.0.0.1 - - [11/Apr/2024:20:00:01 -0300] "DELETE /tasks-backend/todo/1 HTTP/1.1" 404 120
172.23.0.4 - - [11/Apr/2024:20:00:01 -0300] "GET /tasks/delete/1 HTTP/1.1" 500 287
172.23.0.3 - - [11/Apr/2024:20:00:12 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:20:00:12 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1554
172.23.0.3 - - [11/Apr/2024:20:00:12 -0300] "GET /tasks/ HTTP/1.1" 200 5910
172.23.0.3 - - [11/Apr/2024:20:00:12 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.3 - - [11/Apr/2024:20:00:12 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.3 - - [11/Apr/2024:20:00:12 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.3 - - [11/Apr/2024:20:00:12 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:20:00:12 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:20:00:12 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1554
172.23.0.3 - - [11/Apr/2024:20:00:12 -0300] "POST /tasks/save HTTP/1.1" 500 287
172.23.0.4 - - [11/Apr/2024:20:00:22 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:20:00:22 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1554
172.23.0.4 - - [11/Apr/2024:20:00:22 -0300] "GET /tasks/ HTTP/1.1" 200 5910
172.23.0.4 - - [11/Apr/2024:20:00:22 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.4 - - [11/Apr/2024:20:00:22 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.4 - - [11/Apr/2024:20:00:23 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.4 - - [11/Apr/2024:20:00:23 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:20:00:23 -0300] "POST /tasks-backend/todo HTTP/1.1" 201 72
127.0.0.1 - - [11/Apr/2024:20:00:23 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1616
172.23.0.4 - - [11/Apr/2024:20:00:23 -0300] "POST /tasks/save HTTP/1.1" 200 6166
172.23.0.3 - - [11/Apr/2024:20:00:23 -0300] "GET /tasks HTTP/1.1" 302 -
127.0.0.1 - - [11/Apr/2024:20:00:23 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1616
172.23.0.3 - - [11/Apr/2024:20:00:24 -0300] "GET /tasks/ HTTP/1.1" 200 6096
172.23.0.3 - - [11/Apr/2024:20:00:24 -0300] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60010
172.23.0.3 - - [11/Apr/2024:20:00:24 -0300] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159515
172.23.0.3 - - [11/Apr/2024:20:00:24 -0300] "GET /favicon.ico HTTP/1.1" 404 683
172.23.0.3 - - [11/Apr/2024:20:00:24 -0300] "GET /tasks/add HTTP/1.1" 200 1201
127.0.0.1 - - [11/Apr/2024:20:00:24 -0300] "POST /tasks-backend/todo HTTP/1.1" 400 120
127.0.0.1 - - [11/Apr/2024:20:00:24 -0300] "GET /tasks-backend/todo HTTP/1.1" 200 1616
172.23.0.3 - - [11/Apr/2024:20:00:24 -0300] "POST /tasks/save HTTP/1.1" 500 287
